Objects ID,Player ID,InitialWidth,InitialHeight,InitialDepth,Eye Level,Pedestal Height,Center Height (Pedestal Height+1/2Height),Distance to Surface (Distance-1/2depth),Scaled Height
A17,13,67,83,27,131,74,115.5,139.5,64
A17,14,67,83,27,141,52,93.5,93.5,39
A17,15,67,83,27,140,78,119.5,122.5,47
A17,16,67,83,27,139,17,58.5,120.5,41
A17,17,67,83,27,136,77,118.5,147.5,21
A17,18,67,83,27,151,86,127.5,97.5,46
A17,19,67,83,27,107,41,82.5,89.5,36
A17,20,67,83,27,108,55,96.5,72.5,50
A19,1,99,152,83,120,12,88,118.5,50
A19,2,99,152,83,120,23,99,155.5,69
A19,3,99,152,83,147,75,151,133.5,46
A19,4,99,152,83,147,75,151,133.5,46
A19,5,99,152,83,143,0,76,423.5,30
A19,6,99,152,83,141,56,132,97.5,25
A19,7,99,152,83,135,79,155,99.5,42
A19,8,99,152,83,150,49,125,108.5,78
A19,9,99,152,83,137,20,96,78.5,26
A19,10,99,152,83,146,60,136,116.5,17
A19,11,99,152,83,143,0,76,87.5,31
A19,12,99,152,83,135,79,155,98.5,97
A19,13,99,152,83,135,58,134,127.5,45
A19,14,99,152,83,141,60,136,62.5,37
A19,15,99,152,83,140,60,136,114.5,35
A19,16,99,152,83,137,47,123,361.5,31
A19,17,99,152,83,137,65,141,246.5,67
A19,18,99,152,83,145,86,162,-4.5,43
A19,19,99,152,83,102,123,199,205.5,34
A19,20,99,152,83,108,29,105,117.5,40
A10,1,22.5,25,22.2,117,44,56.5,156.9,33
A10,2,22.5,25,22.2,127,99,111.5,32.9,65
A10,3,22.5,25,22.2,145,120,132.5,71.9,30
A10,4,22.5,25,22.2,146,123,135.5,72.9,27
A10,5,22.5,25,22.2,143,107,119.5,221.9,31
A10,6,22.5,25,22.2,143,97,109.5,40.9,10
A10,7,22.5,25,22.2,132,109,121.5,43.9,31
A10,8,22.5,25,22.2,141,118,130.5,53.9,50
A10,9,22.5,25,22.2,136,101,113.5,42.9,31
A10,10,22.5,25,22.2,146,118,130.5,60.9,21
A10,11,22.5,25,22.2,143,114,126.5,55.9,41
A10,12,22.5,25,22.2,132,109,121.5,43.9,73
A10,13,22.5,25,22.2,133,90,102.5,117.9,56
A10,14,22.5,25,22.2,139,60,72.5,83.9,33
A10,15,22.5,25,22.2,140,118,130.5,106.9,29
A10,16,22.5,25,22.2,137,105,117.5,128.9,55
A10,17,22.5,25,22.2,136,110,122.5,223.9,30
A10,18,22.5,25,22.2,148,71,83.5,216.9,46
A10,19,22.5,25,22.2,103,87,99.5,71.9,23
A10,20,22.5,25,22.2,107,90,102.5,35.9,50
A7,1,10.7,17.2,21.4,117,59,67.6,125.3,33
A7,2,10.7,17.2,21.4,126,60,68.6,51.3,64
A7,3,10.7,17.2,21.4,145,123,131.6,41.3,16
A7,4,10.7,17.2,21.4,145,123,131.6,39.3,16
A7,5,10.7,17.2,21.4,143,113,121.6,167.3,42
A7,6,10.7,17.2,21.4,137,113,121.6,21.3,12
A7,7,10.7,17.2,21.4,129,104,112.6,31.3,44
A7,8,10.7,17.2,21.4,143,131,139.6,37.3,28
A7,9,10.7,17.2,21.4,136,105,113.6,41.3,24
A7,10,10.7,17.2,21.4,145,123,131.6,134.3,32
A7,11,10.7,17.2,21.4,143,128,136.6,34.3,30
A7,12,10.7,17.2,21.4,129,104,112.6,31.3,35
A7,13,10.7,17.2,21.4,133,103,111.6,47.3,43
A7,14,10.7,17.2,21.4,140,60,68.6,76.3,26
A7,15,10.7,17.2,21.4,140,122,130.6,101.3,66
A7,16,10.7,17.2,21.4,135,117,125.6,129.3,30
A7,17,10.7,17.2,21.4,136,122,130.6,202.3,20
A7,18,10.7,17.2,21.4,148,119,127.6,96.3,33
A7,19,10.7,17.2,21.4,102,93,101.6,110.3,22
A7,20,10.7,17.2,21.4,108,95,103.6,46.3,64
A8,1,17.6,18.7,17.6,118,96,105.35,78.2,23
A8,2,17.6,18.7,17.6,124,109,118.35,46.2,45
A8,3,17.6,18.7,17.6,145,123,132.35,48.2,18
A8,4,17.6,18.7,17.6,145,144,153.35,65.2,18
A8,5,17.6,18.7,17.6,143,113,122.35,106.2,57
A8,6,17.6,18.7,17.6,137,105,114.35,40.2,31
A8,7,17.6,18.7,17.6,133,108,117.35,49.2,38
A8,8,17.6,18.7,17.6,149,129,138.35,73.2,38
A8,9,17.6,18.7,17.6,141,108,117.35,47.2,22
A8,10,17.6,18.7,17.6,146,125,134.35,72.2,22
A8,11,17.6,18.7,17.6,142,113,122.35,70.2,30
A8,12,17.6,18.7,17.6,133,108,117.35,49.2,54
